node_index,region_name,module_label,strength,strength_z,participation_coefficient
75,7Networks_RH_SalVentAttn_FrOperIns_1,4,231.41787559485533,2.0752993246863376,0.8131253864127479
88,7Networks_RH_Cont_pCun_1,3,228.40794165273314,1.9788997704400602,0.8388516342270917
70,7Networks_RH_DorsAttn_Post_5,4,218.92591979421223,1.675217796652156,0.8301459905060872
17,7Networks_LH_DorsAttn_Post_3,1,218.87140724115758,1.673471915873261,0.8254692047810145
69,7Networks_RH_DorsAttn_Post_4,3,217.0189432700965,1.6141428061647374,0.8161805458552096
45,7Networks_LH_Default_PFC_5,6,216.90914184887458,1.6106261814596987,0.8067230761656377
77,7Networks_RH_SalVentAttn_Med_2,2,214.3211396334405,1.5277398906794024,0.8175592574286574
42,7Networks_LH_Default_PFC_2,6,213.59380799356913,1.504445543620284,0.795366048372987
85,7Networks_RH_Cont_PFCl_4,4,210.96801448553055,1.4203489060910166,0.8069122639696742
19,7Networks_LH_DorsAttn_Post_5,0,209.0469182990354,1.3588217033007184,0.8341147662383501
