node_index,region_name,module_label,strength,strength_z,participation_coefficient
66,7Networks_RH_DorsAttn_Post_1,4,10.209980381646826,-0.5198489349258312,0.7624189963054977
69,7Networks_RH_DorsAttn_Post_4,3,11.647590204649786,-0.114297559095922,0.7470124408390085
19,7Networks_LH_DorsAttn_Post_5,4,9.418238739352528,-0.7432001580439158,0.7346654309027746
17,7Networks_LH_DorsAttn_Post_3,3,12.19658781448419,0.040575294743235124,0.7314637616797254
15,7Networks_LH_DorsAttn_Post_1,1,9.81122243510595,-0.6323390078615867,0.7214915707838785
87,7Networks_RH_Cont_PFCmp_1,3,10.337212288042005,-0.4839566685664903,0.7207188622812142
0,7Networks_LH_Vis_1,0,7.94799478997502,-1.1579576582605933,0.7178662669955018
94,7Networks_RH_Default_PFCv_2,0,8.903920844639455,-0.8882898245704918,0.7133821276816343
92,7Networks_RH_Default_Temp_3,0,9.3300567956175,-0.7680763852600002,0.7102762513746544
26,7Networks_LH_SalVentAttn_PFCl_1,3,8.07207038375596,-1.1229557913008474,0.7056643013476236
