node_index,module,strength,strength_z,participation_coefficient,hub_class
0,6,113.7076619857456,-1.4784442489486376,0.7755086763322783,non_hub
1,6,120.84552482017541,-1.2387744253717945,0.7598629789872284,non_hub
2,6,93.0019628903509,-2.17368473820145,0.7094358709553978,non_hub
3,6,130.27585978618418,-0.9221296859027424,0.776545313867179,non_hub
4,6,130.31447456250004,-0.9208331078034212,0.7734086333923551,non_hub
5,6,121.79934677192982,-1.206747704740792,0.7772480188774158,non_hub
6,6,137.39454071820174,-0.6831039379089768,0.7750692225525515,non_hub
7,6,173.49575618092106,0.5290756936642758,0.799875464850663,non_hub
8,6,152.37660438267548,-0.18004740143964157,0.7917791047132947,non_hub
9,2,179.1348029078947,0.7184193901662989,0.807367379043968,non_hub
10,2,97.73298053070174,-2.0148301637295947,0.7151268414401226,non_hub
11,2,162.7344722752193,0.16774134541942176,0.7639386831100892,non_hub
12,2,156.14205493421053,-0.053613917032985285,0.7655536353665124,non_hub
13,2,164.50323386184212,0.22713150004253885,0.7636296119952437,non_hub
14,2,199.3222887883772,1.396259703389654,0.8051075937796608,connector_hub
15,6,190.37261380482454,1.0957542055770868,0.8039336218560234,connector_hub
16,2,123.30748349232455,-1.1561086170907366,0.7180401694827714,non_hub
17,2,201.47178425109652,1.4684338555524308,0.810424998791724,connector_hub
18,2,84.94395481688596,-2.4442505109188226,0.6430138248710597,non_hub
19,0,195.53710178070176,1.2691635230092981,0.8233880703451882,connector_hub
20,2,174.26542258114034,0.5549189768195361,0.7979878309771111,non_hub
21,2,174.39684778728068,0.5593318741670823,0.7828855529432643,non_hub
22,2,194.3196817225877,1.2282859021702281,0.7940107603130124,connector_hub
23,2,162.29729623464908,0.15306217506466419,0.7810882018143863,non_hub
24,2,190.03790738486842,1.084515683559827,0.8082318185542503,connector_hub
25,2,157.5883854177632,-0.005050113011026089,0.7780396678047018,non_hub
26,5,135.07090699342103,-0.7611251744882424,0.7648111043276437,non_hub
27,5,187.50467491337716,0.9994566969128891,0.8111127638800901,non_hub
28,0,130.74982463377194,-0.9062152484810745,0.8090932544295046,non_hub
29,0,194.2101506984649,1.2246081513032494,0.8059150791401568,connector_hub
30,5,121.26932014473685,-1.2245445426987345,0.7622224627824075,non_hub
31,6,157.3265101688596,-0.013843164399057733,0.800741760902759,non_hub
32,6,176.4329096019737,0.6276972360741813,0.8031659743851656,non_hub
33,2,154.19422237061406,-0.11901678308731595,0.7750042725154278,non_hub
34,5,179.52105290570174,0.7313886039181292,0.7805943692057212,non_hub
35,6,173.35614954385963,0.5243880863438777,0.8290085237800833,non_hub
36,0,178.45967212938598,0.6957503534630445,0.827342445384482,non_hub
37,6,183.2073465504386,0.8551642168684017,0.807951035792875,non_hub
38,2,158.35100452631582,0.02055654145163818,0.7967557228342275,non_hub
39,2,141.2710609199561,-0.552941039798207,0.7751138431808777,non_hub
40,2,189.75575735197367,1.075041860627856,0.7956209338853104,connector_hub
41,5,135.47055331907893,-0.7477061488519486,0.7729057622470671,non_hub
42,5,203.95757680592106,1.551899940133057,0.7871834750499253,connector_hub
43,5,135.16223564583333,-0.7580586092545164,0.7675372753430849,non_hub
44,5,139.99581627850876,-0.5957602512796528,0.7514281066765854,non_hub
45,5,199.37461728508774,1.3980167505430627,0.7988698868012336,connector_hub
46,2,167.70586394188604,0.33466701929678805,0.7869749271830915,non_hub
47,2,123.89115066447368,-1.136510677003989,0.7668446386423688,non_hub
48,6,158.9971352565789,0.04225183620888185,0.8240547245065478,non_hub
49,0,185.55049468859647,0.9338406938354138,0.8327509394392395,non_hub
50,3,125.84915470285088,-1.070766280771402,0.788635780469923,non_hub
