node_index,module,strength,strength_z,participation_coefficient,hub_class
75,1,218.71437834868416,2.04739279343542,0.8074095106507437,connector_hub
88,3,214.79128582127194,1.9156661245808162,0.8335005926829565,connector_hub
70,1,205.03259580811405,1.587996124743745,0.8147711536697411,connector_hub
77,4,204.4065489495614,1.5669751912205616,0.805958149233328,connector_hub
42,5,203.95757680592106,1.551899940133057,0.7871834750499253,connector_hub
17,2,201.47178425109652,1.4684338555524308,0.810424998791724,connector_hub
69,1,200.7923959736842,1.44562186373295,0.8018404037754099,connector_hub
71,1,199.6528950855263,1.407360554547639,0.7857598299856564,connector_hub
45,5,199.37461728508774,1.3980167505430627,0.7988698868012336,connector_hub
14,2,199.3222887883772,1.396259703389654,0.8051075937796608,connector_hub
85,1,195.7447521600877,1.2761358522551105,0.7938295948020259,connector_hub
19,0,195.53710178070176,1.2691635230092981,0.8233880703451882,connector_hub
22,2,194.3196817225877,1.2282859021702281,0.7940107603130124,connector_hub
29,0,194.2101506984649,1.2246081513032494,0.8059150791401568,connector_hub
65,1,192.76281498574565,1.17601059444762,0.8002279317942493,connector_hub
