node_index,module,strength,strength_z,participation_coefficient,hub_class
0,1,117.69159638263666,-1.5670273286407614,0.7833749334234061,non_hub
1,1,130.67989898392284,-1.1510492356806987,0.7682512128582125,non_hub
2,1,95.322608340836,-2.2834418804662824,0.7095988310738764,non_hub
3,1,137.58327262700965,-0.9299539708723747,0.7798309185357636,non_hub
4,1,136.31193072347264,-0.9706714069198819,0.7734981378983291,non_hub
5,1,126.22731209646302,-1.2936528274695982,0.779194314361964,non_hub
6,1,142.2799515016077,-0.7795328125827883,0.7879055977880072,non_hub
7,1,184.4615995273312,0.5714244327400514,0.8073143990422794,non_hub
8,1,158.68986430546624,-0.2539703550901503,0.7937688193765291,non_hub
9,3,184.52278476848878,0.5733840205873124,0.8166049255869978,non_hub
10,3,105.65830614790995,-1.9524191136597582,0.7501643726669418,non_hub
11,3,171.00041920257235,0.14030142210660612,0.7887560166881011,non_hub
12,3,160.53217707717042,-0.1949663591920582,0.7914297499780643,non_hub
13,3,176.14078735691317,0.30493267590443385,0.7949967774711842,non_hub
14,2,208.31437154983922,1.3353603312424058,0.8142336235328012,connector_hub
15,1,196.36220084887458,0.9525665723082656,0.8129932424682533,non_hub
16,3,135.93898353054664,-0.9826158362152699,0.7633393363216759,non_hub
17,3,218.87140724115758,1.673471915873261,0.8254692047810145,connector_hub
18,3,97.26808085530544,-2.221133973781457,0.7152519787099298,non_hub
19,2,209.0469182990354,1.3588217033007184,0.8341147662383501,connector_hub
20,3,189.34106468488744,0.7276997115978383,0.8204434155460503,non_hub
21,3,184.1357917202572,0.5609897428180041,0.8025868445766203,non_hub
22,3,207.5391754533762,1.3105330228730396,0.8153396817382649,connector_hub
23,3,168.80810676848876,0.07008794052261395,0.8011591154663519,non_hub
24,3,205.54755298392283,1.246747065448735,0.8167115419661661,connector_hub
25,3,166.46828897749197,-0.004849714723922105,0.7899343975594069,non_hub
26,4,150.66439146623793,-0.5110032399287268,0.7740641526793669,non_hub
27,4,193.29463065273313,0.8543210940973034,0.8162897941439834,non_hub
28,2,141.55979292282956,-0.8025974270613038,0.8200260452056483,non_hub
29,2,208.40722640836012,1.3383342061323988,0.821450790392235,connector_hub
30,4,124.30124860128618,-1.355339118914973,0.7610310699972642,non_hub
31,1,162.0786585916399,-0.14543699027180337,0.8057752942367806,non_hub
32,1,178.3325567202572,0.3751287644897012,0.8109258917609552,non_hub
33,3,175.84370276527335,0.29541790821909275,0.806347424964438,non_hub
34,4,191.8899582604502,0.809333464773234,0.7930375745506845,non_hub
35,1,189.42699817363342,0.7304519148585182,0.8347162191501699,non_hub
36,2,180.39010627009645,0.4410261772762043,0.8374155329990376,non_hub
37,1,184.65315480707397,0.5775593991332688,0.8121488324651265,non_hub
38,3,157.03597805466237,-0.30693958977014135,0.8021212344125574,non_hub
39,3,141.4170485337621,-0.8071691205741378,0.786287408081391,non_hub
40,3,200.49808988424434,1.0850272399136829,0.8126589965098951,connector_hub
41,4,146.33841416077172,-0.6495518898145207,0.7780750601594204,non_hub
42,4,213.59380799356913,1.504445543620284,0.795366048372987,connector_hub
43,4,139.49939288424437,-0.868586132829572,0.766962334284474,non_hub
44,4,153.40624363665594,-0.4231895762005696,0.7599115406101205,non_hub
45,4,216.90914184887458,1.6106261814596987,0.8067230761656375,connector_hub
46,3,183.64476367845657,0.5452635224881887,0.8027030430377504,non_hub
47,4,140.05262097427655,-0.8508678232915162,0.785901843055655,non_hub
48,1,163.90460528617362,-0.0869571529015493,0.8273621853294578,non_hub
49,2,197.69365109967845,0.9952091063793261,0.8375918150848148,non_hub
50,5,130.38775790353696,-1.1604056768743445,0.7855264210809247,non_hub
51,5,117.38004615112543,-1.5770053892960834,0.7428728326497,non_hub
52,5,177.91029968488746,0.3616050823193551,0.8026417471752278,non_hub
53,5,139.34802687138267,-0.8734339522330823,0.7715216257029716,non_hub
54,5,104.76041612861735,-1.9811759565959726,0.7274121288443182,non_hub
55,5,141.28951145980707,-0.8112537673855134,0.7968753909645548,non_hub
56,5,155.99294411897108,-0.34034497619981413,0.7894975728313155,non_hub
57,5,168.3287278713826,0.05473480889756457,0.792889417264863,non_hub
58,0,184.91717245980706,0.5860151275731673,0.815778913570897,non_hub
59,0,115.64295037299036,-1.6326395865626335,0.7520435264156767,non_hub
60,0,156.18640346623795,-0.33414902798303936,0.7663789522111437,non_hub
61,0,140.84483633440513,-0.825495436703655,0.7591025160933388,non_hub
62,0,126.4095714630225,-1.2878155825229018,0.7619054747804804,non_hub
63,0,148.29859920900324,-0.5867727828562772,0.7664983655968904,non_hub
64,0,156.69448033440514,-0.3178767826261764,0.7824289774342323,non_hub
65,0,200.86249489067524,1.096698087467328,0.8183777248202657,connector_hub
66,5,166.43107839228296,-0.006041463079988211,0.7904727246473338,non_hub
67,0,121.96949811897107,-1.430018401394586,0.7262670993190112,non_hub
68,0,154.03439032475882,-0.4030718387688641,0.7806747044581495,non_hub
69,5,217.0189432700965,1.6141428061647374,0.8161805458552096,connector_hub
70,0,218.92591979421223,1.675217796652156,0.8301459905060872,connector_hub
71,0,207.9929615819936,1.3250664915015964,0.8018186299959104,connector_hub
72,0,190.58758108681673,0.7676220580071863,0.8066676765149817,non_hub
73,0,146.09118912218648,-0.6574697989701391,0.7925334703184423,non_hub
74,0,170.5186999967846,0.12487333710449176,0.7917675618349167,non_hub
75,0,231.41787559485533,2.0752993246863376,0.8131253864127479,connector_hub
76,6,141.89611049196142,-0.7918261395935647,0.8218240325767193,non_hub
77,6,214.3211396334405,1.5277398906794024,0.8175592574286574,connector_hub
78,4,127.33642073311897,-1.2581312578138382,0.7493124111806511,non_hub
79,5,172.2657325819936,0.18082578181134426,0.8059665545748186,non_hub
80,0,160.12895358199353,-0.20788045164196486,0.7897859524454566,non_hub
81,0,174.25804820900322,0.24463393908479147,0.7997164988456759,non_hub
82,4,167.43219682958195,0.02602149011403091,0.767051316263663,non_hub
83,4,171.4086121414791,0.15337467159105986,0.7788317702802827,non_hub
84,4,150.6417626688103,-0.5117279754302694,0.7728453614107516,non_hub
85,0,210.96801448553055,1.4203489060910166,0.8069122639696742,connector_hub
86,6,180.44186304501608,0.44268379838265254,0.8335499976870867,non_hub
87,4,186.88407055305464,0.6490092341159953,0.811283312219927,non_hub
88,5,228.40794165273314,1.9788997704400602,0.8388516342270917,connector_hub
89,0,149.0429868231511,-0.5629321818430507,0.7868646468060091,non_hub
90,5,186.87813280064304,0.6488190649306546,0.8104498868809482,non_hub
91,5,151.86113236012864,-0.47267506032820844,0.8038925701162609,non_hub
92,5,174.82163618006427,0.26268404590891126,0.8077174932697391,non_hub
93,4,131.92843345337624,-1.1110622563546473,0.7662716354561091,non_hub
94,4,189.96184350160775,0.7475814772339227,0.7831894900375895,non_hub
95,4,149.71306765594855,-0.5414714139880907,0.7719739308889582,non_hub
96,4,204.60758137299038,1.2166424697863614,0.8024264411012235,connector_hub
97,4,170.94302538263668,0.13846326261052475,0.7976385103525193,non_hub
98,5,156.88134012540198,-0.3118921992748398,0.8281981623842113,non_hub
99,6,169.1183589967846,0.0800244298565114,0.8356989170608976,non_hub
