node_index,region_name,module_label,strength,strength_z,participation_coefficient
76,7Networks_RH_SalVentAttn_Med_1,2,18.285495037459572,2.1194838714909783,0.7060348194141
67,7Networks_RH_DorsAttn_Post_2,2,17.957042741957107,2.0231179657716543,0.6363798020174309
28,7Networks_LH_SalVentAttn_Med_2,2,17.84018776949103,1.9888334276098087,0.71095088478179
72,7Networks_RH_DorsAttn_FEF_1,2,16.828962901091508,1.6921462019043245,0.583167657319022
74,7Networks_RH_SalVentAttn_TempOccPar_2,1,16.660210943144854,1.642635403861153,0.6765512709262347
77,7Networks_RH_SalVentAttn_Med_2,2,16.591390092626956,1.6224437849157416,0.6539718251798883
64,7Networks_RH_SomMot_7,2,16.521905426837474,1.6020574066072433,0.532264121243303
16,7Networks_LH_DorsAttn_Post_2,2,16.477243155699814,1.5889537679096402,0.6702852034471647
14,7Networks_LH_SomMot_6,2,16.281920009050946,1.5316471447180686,0.53268651464516
18,7Networks_LH_DorsAttn_Post_4,2,16.12222816139684,1.4847945279274375,0.5749191187444305
