node_index,region_name,module_label,strength,strength_z,participation_coefficient
0,7Networks_LH_Vis_1,5,117.69159638263666,-1.5670273286407614,0.7833749334234061
1,7Networks_LH_Vis_2,5,130.67989898392284,-1.1510492356806987,0.7682512128582124
2,7Networks_LH_Vis_3,5,95.322608340836,-2.2834418804662824,0.7095988310738764
3,7Networks_LH_Vis_4,5,137.58327262700965,-0.9299539708723747,0.7798309185357636
4,7Networks_LH_Vis_5,5,136.31193072347264,-0.9706714069198819,0.7734981378983291
5,7Networks_LH_Vis_6,5,126.22731209646302,-1.2936528274695982,0.779194314361964
6,7Networks_LH_Vis_7,5,142.2799515016077,-0.7795328125827883,0.7879055977880072
7,7Networks_LH_Vis_8,5,184.4615995273312,0.5714244327400514,0.8073143990422794
8,7Networks_LH_Vis_9,5,158.68986430546624,-0.2539703550901503,0.7937688193765291
9,7Networks_LH_SomMot_1,1,184.52278476848878,0.5733840205873124,0.8166049255869978
10,7Networks_LH_SomMot_2,1,105.65830614790995,-1.9524191136597582,0.7501643726669418
11,7Networks_LH_SomMot_3,1,171.00041920257235,0.14030142210660612,0.7887560166881011
12,7Networks_LH_SomMot_4,1,160.53217707717042,-0.1949663591920582,0.7914297499780644
13,7Networks_LH_SomMot_5,1,176.14078735691317,0.30493267590443385,0.7949967774711842
14,7Networks_LH_SomMot_6,0,208.31437154983922,1.3353603312424058,0.8142336235328012
15,7Networks_LH_DorsAttn_Post_1,5,196.36220084887458,0.9525665723082656,0.8129932424682533
16,7Networks_LH_DorsAttn_Post_2,1,135.93898353054664,-0.9826158362152699,0.7633393363216759
17,7Networks_LH_DorsAttn_Post_3,1,218.87140724115758,1.673471915873261,0.8254692047810145
18,7Networks_LH_DorsAttn_Post_4,1,97.26808085530544,-2.221133973781457,0.7152519787099297
19,7Networks_LH_DorsAttn_Post_5,0,209.0469182990354,1.3588217033007184,0.8341147662383501
20,7Networks_LH_DorsAttn_Post_6,1,189.34106468488744,0.7276997115978383,0.8204434155460503
21,7Networks_LH_DorsAttn_PrCv_1,1,184.1357917202572,0.5609897428180041,0.8025868445766203
22,7Networks_LH_DorsAttn_FEF_1,1,207.5391754533762,1.3105330228730396,0.8153396817382649
23,7Networks_LH_SalVentAttn_ParOper_1,1,168.80810676848876,0.07008794052261395,0.8011591154663518
24,7Networks_LH_SalVentAttn_FrOperIns_1,1,205.54755298392283,1.246747065448735,0.816711541966166
25,7Networks_LH_SalVentAttn_FrOperIns_2,1,166.46828897749197,-0.004849714723922105,0.7899343975594069
26,7Networks_LH_SalVentAttn_PFCl_1,6,150.66439146623793,-0.5110032399287268,0.7740641526793669
27,7Networks_LH_SalVentAttn_Med_1,6,193.29463065273313,0.8543210940973034,0.8162897941439834
28,7Networks_LH_SalVentAttn_Med_2,0,141.55979292282956,-0.8025974270613038,0.8200260452056483
29,7Networks_LH_SalVentAttn_Med_3,0,208.40722640836012,1.3383342061323988,0.821450790392235
30,7Networks_LH_Limbic_OFC_1,6,124.30124860128618,-1.355339118914973,0.7610310699972643
31,7Networks_LH_Limbic_TempPole_1,5,162.0786585916399,-0.14543699027180337,0.8057752942367806
32,7Networks_LH_Limbic_TempPole_2,5,178.3325567202572,0.3751287644897012,0.8109258917609552
33,7Networks_LH_Cont_Par_1,1,175.84370276527335,0.29541790821909275,0.806347424964438
34,7Networks_LH_Cont_PFCl_1,6,191.8899582604502,0.809333464773234,0.7930375745506845
35,7Networks_LH_Cont_pCun_1,5,189.42699817363342,0.7304519148585182,0.8347162191501699
36,7Networks_LH_Cont_Cing_1,0,180.39010627009645,0.4410261772762043,0.8374155329990376
37,7Networks_LH_Default_Temp_1,5,184.65315480707397,0.5775593991332688,0.8121488324651265
38,7Networks_LH_Default_Temp_2,1,157.03597805466237,-0.30693958977014135,0.8021212344125574
39,7Networks_LH_Default_Par_1,1,141.4170485337621,-0.8071691205741378,0.7862874080813909
40,7Networks_LH_Default_Par_2,1,200.49808988424434,1.0850272399136829,0.8126589965098951
41,7Networks_LH_Default_PFC_1,6,146.33841416077172,-0.6495518898145207,0.7780750601594204
42,7Networks_LH_Default_PFC_2,6,213.59380799356913,1.504445543620284,0.795366048372987
43,7Networks_LH_Default_PFC_3,6,139.49939288424437,-0.868586132829572,0.766962334284474
44,7Networks_LH_Default_PFC_4,6,153.40624363665594,-0.4231895762005696,0.7599115406101205
45,7Networks_LH_Default_PFC_5,6,216.90914184887458,1.6106261814596987,0.8067230761656377
46,7Networks_LH_Default_PFC_6,1,183.64476367845657,0.5452635224881887,0.8027030430377504
47,7Networks_LH_Default_PFC_7,6,140.05262097427655,-0.8508678232915162,0.785901843055655
48,7Networks_LH_Default_pCunPCC_1,5,163.90460528617362,-0.0869571529015493,0.8273621853294578
49,7Networks_LH_Default_pCunPCC_2,0,197.69365109967845,0.9952091063793261,0.8375918150848148
50,7Networks_RH_Vis_1,3,130.38775790353696,-1.1604056768743445,0.7855264210809247
51,7Networks_RH_Vis_2,3,117.38004615112543,-1.5770053892960834,0.7428728326497
52,7Networks_RH_Vis_3,3,177.91029968488746,0.3616050823193551,0.8026417471752278
53,7Networks_RH_Vis_4,3,139.34802687138267,-0.8734339522330823,0.7715216257029716
54,7Networks_RH_Vis_5,3,104.76041612861735,-1.9811759565959726,0.7274121288443182
55,7Networks_RH_Vis_6,3,141.28951145980707,-0.8112537673855134,0.7968753909645548
56,7Networks_RH_Vis_7,3,155.99294411897108,-0.34034497619981413,0.7894975728313155
57,7Networks_RH_Vis_8,3,168.3287278713826,0.05473480889756457,0.792889417264863
58,7Networks_RH_SomMot_1,4,184.91717245980706,0.5860151275731673,0.815778913570897
59,7Networks_RH_SomMot_2,4,115.64295037299036,-1.6326395865626335,0.7520435264156767
60,7Networks_RH_SomMot_3,4,156.18640346623795,-0.33414902798303936,0.7663789522111437
61,7Networks_RH_SomMot_4,4,140.84483633440513,-0.825495436703655,0.7591025160933388
62,7Networks_RH_SomMot_5,4,126.4095714630225,-1.2878155825229018,0.7619054747804804
63,7Networks_RH_SomMot_6,4,148.29859920900324,-0.5867727828562772,0.7664983655968904
64,7Networks_RH_SomMot_7,4,156.69448033440514,-0.3178767826261764,0.7824289774342323
65,7Networks_RH_SomMot_8,4,200.86249489067524,1.096698087467328,0.8183777248202657
66,7Networks_RH_DorsAttn_Post_1,3,166.43107839228296,-0.006041463079988211,0.7904727246473338
67,7Networks_RH_DorsAttn_Post_2,4,121.96949811897107,-1.430018401394586,0.7262670993190112
68,7Networks_RH_DorsAttn_Post_3,4,154.03439032475882,-0.4030718387688641,0.7806747044581495
69,7Networks_RH_DorsAttn_Post_4,3,217.0189432700965,1.6141428061647374,0.8161805458552096
