node_index,module,strength,strength_z,participation_coefficient,hub_class
88,5,228.40794165273314,1.9788997704400602,0.8388516342270917,connector_hub
49,2,197.69365109967845,0.9952091063793261,0.8375918150848148,non_hub
36,2,180.39010627009645,0.4410261772762043,0.8374155329990376,non_hub
99,6,169.1183589967846,0.0800244298565114,0.8356989170608976,non_hub
35,1,189.42699817363342,0.7304519148585182,0.8347162191501699,non_hub
19,2,209.0469182990354,1.3588217033007184,0.8341147662383501,connector_hub
86,6,180.44186304501608,0.44268379838265254,0.8335499976870867,non_hub
70,0,218.92591979421223,1.675217796652156,0.8301459905060872,connector_hub
98,5,156.88134012540198,-0.3118921992748398,0.8281981623842113,non_hub
48,1,163.90460528617362,-0.0869571529015493,0.8273621853294578,non_hub
17,3,218.87140724115758,1.673471915873261,0.8254692047810145,connector_hub
76,6,141.89611049196142,-0.7918261395935647,0.8218240325767193,non_hub
29,2,208.40722640836012,1.3383342061323988,0.821450790392235,connector_hub
20,3,189.34106468488744,0.7276997115978383,0.8204434155460503,non_hub
28,2,141.55979292282956,-0.8025974270613038,0.8200260452056483,non_hub
