node_index,region_name,module_label,strength,strength_z,participation_coefficient
27,7Networks_LH_SalVentAttn_Med_1,5,11.490504690245112,0.12587503352665086,0.7732996400122754
39,7Networks_LH_Default_Par_1,1,8.521639642954298,-0.7451719134978853,0.7692547793316659
73,7Networks_RH_SalVentAttn_TempOccPar_1,1,11.278523546325154,0.06368105525648879,0.767302178437355
66,7Networks_RH_DorsAttn_Post_1,3,9.554607696605716,-0.4421053694904342,0.7630805397814269
83,7Networks_RH_Cont_PFCl_2,5,8.934232416131302,-0.6241197034056251,0.7617233620570241
34,7Networks_LH_Cont_PFCl_1,5,9.066141721110982,-0.5854183156508908,0.7607048474477269
21,7Networks_LH_DorsAttn_PrCv_1,5,12.073444731124411,0.2969060958410617,0.7544852775560624
26,7Networks_LH_SalVentAttn_PFCl_1,5,8.82136744800129,-0.6572335985641066,0.7485715360578451
84,7Networks_RH_Cont_PFCl_3,5,9.574264760117218,-0.43633810661845357,0.7453248853415896
71,7Networks_RH_DorsAttn_PrCv_1,5,14.592936814372228,1.036109748485408,0.7425958150448386
