node_index,region_name,module_label,strength,strength_z,participation_coefficient
0,7Networks_LH_Vis_1,0,6.7674384106209695,-1.2598438852956493,0.6694231659426213
1,7Networks_LH_Vis_2,4,8.197213695592708,-0.8403565131625714,0.33601660978607006
2,7Networks_LH_Vis_3,4,12.558231435846547,0.43913956633566675,0.6383493093140842
3,7Networks_LH_Vis_4,4,6.898116416827408,-1.2215037531117219,0.39877346184032436
4,7Networks_LH_Vis_5,4,6.418347540012766,-1.3622650234187481,0.26207757336017623
5,7Networks_LH_Vis_6,4,13.136080784465031,0.6086770505044254,0.6801908919098825
6,7Networks_LH_Vis_7,4,12.243049673458309,0.3466671543152507,0.6905140867061822
7,7Networks_LH_Vis_8,4,13.835175234357969,0.8137871099248501,0.606812083986677
8,7Networks_LH_Vis_9,4,13.838495114230511,0.8147611424865878,0.6487235679150053
9,7Networks_LH_SomMot_1,1,11.91482213987059,0.25036719237461963,0.7010701433693141
10,7Networks_LH_SomMot_2,1,13.757497137474557,0.7909968287691892,0.6793719527440165
11,7Networks_LH_SomMot_3,1,16.054852342418304,1.4650268724464022,0.6540807505250664
12,7Networks_LH_SomMot_4,1,13.702043039027242,0.7747269335792376,0.6761670576834252
13,7Networks_LH_SomMot_5,2,14.381690785477016,0.9741314484922363,0.532966485132571
14,7Networks_LH_SomMot_6,2,16.281920009050946,1.5316471447180686,0.53268651464516
15,7Networks_LH_DorsAttn_Post_1,4,7.468127962664235,-1.0542658326063814,0.6653128994638711
16,7Networks_LH_DorsAttn_Post_2,2,16.477243155699814,1.5889537679096402,0.6702852034471647
17,7Networks_LH_DorsAttn_Post_3,2,13.644262238150745,0.7577743980485193,0.6552431701879551
18,7Networks_LH_DorsAttn_Post_4,2,16.12222816139684,1.4847945279274375,0.5749191187444305
19,7Networks_LH_DorsAttn_Post_5,3,10.748616480584428,-0.0917904547204942,0.6286933526739816
20,7Networks_LH_DorsAttn_Post_6,2,14.424014397053725,0.9865489386993396,0.5314218311673007
21,7Networks_LH_DorsAttn_PrCv_1,5,12.073444731124411,0.2969060958410617,0.7544852775560624
22,7Networks_LH_DorsAttn_FEF_1,2,15.334566357251044,1.2536993454720697,0.5877377412132518
23,7Networks_LH_SalVentAttn_ParOper_1,1,13.80472940571731,0.8048544889856538,0.7056752821048894
24,7Networks_LH_SalVentAttn_FrOperIns_1,1,8.898518593619167,-0.6345979217046206,0.6802064379921263
25,7Networks_LH_SalVentAttn_FrOperIns_2,1,12.979678892104221,0.5627896865859944,0.6905117323739052
26,7Networks_LH_SalVentAttn_PFCl_1,5,8.82136744800129,-0.6572335985641066,0.7485715360578451
27,7Networks_LH_SalVentAttn_Med_1,5,11.490504690245112,0.12587503352665086,0.7732996400122754
28,7Networks_LH_SalVentAttn_Med_2,2,17.84018776949103,1.9888334276098087,0.71095088478179
29,7Networks_LH_SalVentAttn_Med_3,2,11.759091212358417,0.20467668546169598,0.6323146317319224
30,7Networks_LH_Limbic_OFC_1,0,6.006380337035328,-1.4831336950194296,0.12676031036726654
31,7Networks_LH_Limbic_TempPole_1,0,4.857638960502131,-1.8201674277797284,0.24229071073489195
32,7Networks_LH_Limbic_TempPole_2,0,6.561242486537552,-1.3203405152538419,0.4001742816116457
33,7Networks_LH_Cont_Par_1,3,10.748291793848606,-0.09188571583390667,0.6736462451561713
34,7Networks_LH_Cont_PFCl_1,5,9.066141721110982,-0.5854183156508908,0.7607048474477269
35,7Networks_LH_Cont_pCun_1,3,9.724539866891007,-0.39224830432564056,0.5788089477445271
36,7Networks_LH_Cont_Cing_1,3,10.053412729941689,-0.2957590066457334,0.5443881554876107
37,7Networks_LH_Default_Temp_1,0,7.868798479796935,-0.9367115399214861,0.41265721936805455
38,7Networks_LH_Default_Temp_2,0,6.14617920900462,-1.4421175562975141,0.6321642627386573
39,7Networks_LH_Default_Par_1,1,8.521639642954298,-0.7451719134978853,0.7692547793316659
40,7Networks_LH_Default_Par_2,3,9.523438602109614,-0.451250192232419,0.40001069740033735
41,7Networks_LH_Default_PFC_1,0,6.860240914160211,-1.2326161952199906,0.5109694658389026
42,7Networks_LH_Default_PFC_2,0,6.975682518587502,-1.1987463306440425,0.6211953269832551
43,7Networks_LH_Default_PFC_3,0,8.179290574360564,-0.845615047916334,0.5396234276149543
44,7Networks_LH_Default_PFC_4,0,5.6740243915628685,-1.5806449078963554,0.49097065914435445
45,7Networks_LH_Default_PFC_5,3,8.739000089564117,-0.6813996805376357,0.6398317564171284
46,7Networks_LH_Default_PFC_6,3,7.703344770652263,-0.985254651827453,0.5815935037480644
47,7Networks_LH_Default_PFC_7,3,10.785443360344717,-0.08098567219495917,0.591904106129314
48,7Networks_LH_Default_pCunPCC_1,3,10.438690253919368,-0.18272092452604552,0.6102219641959626
49,7Networks_LH_Default_pCunPCC_2,3,11.125535964349918,0.018795429237954065,0.3990536500173997
50,7Networks_RH_Vis_1,0,6.968435275493825,-1.200872627687033,0.5993951162874178
51,7Networks_RH_Vis_2,4,10.968695101380192,-0.027220725987134507,0.4978195149913377
52,7Networks_RH_Vis_3,4,8.50678351644084,-0.7495306106559005,0.5864576302651419
53,7Networks_RH_Vis_4,4,6.0173223141680126,-1.4799233854822769,0.2460689276436424
54,7Networks_RH_Vis_5,4,11.262666973253555,0.05902883316343977,0.5827139530128106
55,7Networks_RH_Vis_6,4,14.77334175422185,1.0890394605407114,0.6943020306822871
56,7Networks_RH_Vis_7,4,13.374343814344352,0.6785819742578925,0.6161840180022349
57,7Networks_RH_Vis_8,4,12.906262459412899,0.5412497517831091,0.6164794560518889
58,7Networks_RH_SomMot_1,1,11.765186757173794,0.2064650812349328,0.7075731308487274
59,7Networks_RH_SomMot_2,1,13.919725362303677,0.838593603195687,0.6691106618700524
60,7Networks_RH_SomMot_3,1,14.301334422888619,0.9505553804690395,0.6422145110498019
61,7Networks_RH_SomMot_4,1,12.867243167407471,0.5298017288399978,0.677109995609698
62,7Networks_RH_SomMot_5,2,15.071577331118965,1.176539964811658,0.6377107007742926
63,7Networks_RH_SomMot_6,2,13.021166242078436,0.5749618227254106,0.5206140253442083
64,7Networks_RH_SomMot_7,2,16.521905426837474,1.6020574066072433,0.532264121243303
65,7Networks_RH_SomMot_8,2,15.746766366293915,1.3746363209563277,0.5237743761170695
66,7Networks_RH_DorsAttn_Post_1,3,9.554607696605716,-0.4421053694904342,0.7630805397814269
67,7Networks_RH_DorsAttn_Post_2,2,17.957042741957107,2.0231179657716543,0.6363798020174309
68,7Networks_RH_DorsAttn_Post_3,2,15.09383935091219,1.1830715060122876,0.6604091484860544
69,7Networks_RH_DorsAttn_Post_4,2,12.893473191490482,0.5374974583642266,0.6628604707326045
70,7Networks_RH_DorsAttn_Post_5,2,14.2628243033146,0.9392567456203087,0.5697859711202728
71,7Networks_RH_DorsAttn_PrCv_1,5,14.592936814372228,1.036109748485408,0.7425958150448386
72,7Networks_RH_DorsAttn_FEF_1,2,16.828962901091508,1.6921462019043245,0.583167657319022
73,7Networks_RH_SalVentAttn_TempOccPar_1,1,11.278523546325154,0.06368105525648879,0.767302178437355
74,7Networks_RH_SalVentAttn_TempOccPar_2,1,16.660210943144854,1.642635403861153,0.6765512709262347
75,7Networks_RH_SalVentAttn_FrOperIns_1,1,13.045276237362398,0.5820355486948798,0.6832898777060373
76,7Networks_RH_SalVentAttn_Med_1,2,18.285495037459572,2.1194838714909783,0.7060348194141
77,7Networks_RH_SalVentAttn_Med_2,2,16.591390092626956,1.6224437849157416,0.6539718251798883
78,7Networks_RH_Limbic_OFC_1,0,5.992294063174077,-1.487266522091846,0.11158036686625294
79,7Networks_RH_Limbic_TempPole_1,0,5.074644506904014,-1.756499320381839,0.2184171385248319
80,7Networks_RH_Cont_Par_1,5,11.115244231642317,0.015775897460068255,0.723813341434515
81,7Networks_RH_Cont_Par_2,3,8.973594036619497,-0.6125712433678514,0.44002949648400946
82,7Networks_RH_Cont_PFCl_1,0,6.191608311319999,-1.4287889339965492,0.5193190858060428
83,7Networks_RH_Cont_PFCl_2,5,8.934232416131302,-0.6241197034056251,0.7617233620570241
84,7Networks_RH_Cont_PFCl_3,5,9.574264760117218,-0.43633810661845357,0.7453248853415896
85,7Networks_RH_Cont_PFCl_4,3,9.203005371495914,-0.5452633530886094,0.6246492049533939
86,7Networks_RH_Cont_Cing_1,3,10.321279543404946,-0.21716851285105,0.5378272001217064
87,7Networks_RH_Cont_PFCmp_1,5,10.270283627606338,-0.23213040436836,0.7382263529778144
88,7Networks_RH_Cont_pCun_1,3,11.610411258058681,0.16105489120240088,0.5676646959624001
