node_index,module,strength,strength_z,participation_coefficient,hub_class
66,4,10.209980381646826,-0.5198489349258312,0.7624189963054977,non_hub
69,3,11.647590204649786,-0.114297559095922,0.7470124408390085,non_hub
19,4,9.418238739352528,-0.7432001580439158,0.7346654309027746,non_hub
17,3,12.19658781448419,0.040575294743235124,0.7314637616797254,non_hub
15,1,9.81122243510595,-0.6323390078615867,0.7214915707838785,non_hub
87,3,10.337212288042005,-0.4839566685664903,0.7207188622812142,non_hub
0,0,7.94799478997502,-1.1579576582605933,0.7178662669955018,non_hub
94,0,8.903920844639455,-0.8882898245704918,0.7133821276816343,non_hub
92,0,9.3300567956175,-0.7680763852600002,0.7102762513746544,non_hub
26,3,8.07207038375596,-1.1229557913008474,0.7056643013476236,non_hub
84,3,8.934700799962258,-0.8796067639587668,0.6914752715977099,non_hub
34,3,9.242982522768907,-0.7926401372517414,0.690429479604061,non_hub
39,0,10.290520183980357,-0.4971285645424374,0.6872698310644827,non_hub
50,0,8.341982630054858,-1.0468132378149468,0.6872620580959782,non_hub
80,3,9.435341405476958,-0.7383754763631565,0.6815243918428959,non_hub
