node_index,module,strength,strength_z,participation_coefficient,hub_class
76,5,18.285495037459572,2.1194838714909783,0.6929374035133569,connector_hub
67,5,17.957042741957107,2.0231179657716543,0.5966174629176237,connector_hub
28,5,17.84018776949103,1.9888334276098087,0.6968855465136379,connector_hub
72,5,16.828962901091508,1.6921462019043245,0.5590742366940666,connector_hub
74,3,16.660210943144854,1.642635403861153,0.6696936999578154,connector_hub
77,5,16.591390092626956,1.6224437849157416,0.6360282166928637,connector_hub
64,5,16.521905426837474,1.6020574066072433,0.4972695702664134,connector_hub
16,5,16.477243155699814,1.5889537679096402,0.6436566738182854,connector_hub
14,5,16.281920009050946,1.5316471447180686,0.49228003923331554,connector_hub
18,5,16.12222816139684,1.4847945279274375,0.5362775128235517,connector_hub
11,3,16.054852342418304,1.4650268724464022,0.6653207905900141,connector_hub
65,5,15.746766366293915,1.3746363209563277,0.48195395314811895,connector_hub
22,5,15.334566357251044,1.2536993454720697,0.5586950656168563,connector_hub
68,5,15.09383935091219,1.1830715060122876,0.6463716162612141,connector_hub
62,5,15.071577331118965,1.176539964811658,0.5867117750507005,connector_hub
