<<<<<<< HEAD
G1,G2,G3
1,1,1
2,2,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2,2,1
1,1,1
2,2,1
1,1,1
1,1,1
3,1,1
2,1,1
2,2,1
2,2,1
1,1,1
3,1,1
3,1,1
3,1,1
1,1,1
2,2,1
2,2,1
2,2,1
1,1,1
1,1,1
1,1,1
2,2,1
1,1,1
1,1,1
1,1,1
4,3,2
2,2,2
2,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
2,3,2
4,3,2
2,2,2
4,3,2
4,3,2
3,3,2
2,3,2
2,2,2
2,2,2
4,3,2
3,3,2
3,3,2
3,3,2
4,3,2
2,2,2
2,2,2
2,2,2
4,3,2
4,3,2
3,3,2
2,2,2
4,3,2
4,3,2
4,3,2
=======
G1,G2,G3
1,1,1
2,2,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2,2,1
1,1,1
2,2,1
1,1,1
1,1,1
3,1,1
2,1,1
2,2,1
2,2,1
1,1,1
3,1,1
3,1,1
3,1,1
1,1,1
2,2,1
2,2,1
2,2,1
1,1,1
1,1,1
1,1,1
2,2,1
1,1,1
1,1,1
1,1,1
4,3,2
2,2,2
2,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
2,3,2
4,3,2
2,2,2
4,3,2
4,3,2
3,3,2
2,3,2
2,2,2
2,2,2
4,3,2
3,3,2
3,3,2
3,3,2
4,3,2
2,2,2
2,2,2
2,2,2
4,3,2
4,3,2
3,3,2
2,2,2
4,3,2
4,3,2
4,3,2
>>>>>>> dafcc64fe4d50fb4fb4e3c484db0e302d09ae315
