<55,>=55
0,4
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,3
2,3
2,3
2,5
2,5
2,5
1,2
2,5
3,5
2,5
4,1
2,5
3,0
2,5
2,3
2,3
2,3
3,0
3,0
2,5
2,5
0,4
0,4
0,4
3,1
3,0
4,1
4,1
0,4
0,4
0,3
4,1
0,4
0,4
4,4
0,4
4,1
4,1
4,1
4,1
4,1
0,4
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,3
2,3
2,3
2,5
2,5
2,5
2,5
2,5
4,1
2,5
3,5
3,5
2,5
3,0
2,5
2,3
2,3
2,3
2,5
2,5
0,4
0,4
3,0
4,1
0,4
3,0
3,0
4,1
4,1
3,0
4,1
4,1
0,4
0,4
0,4
0,4
0,4
4,4
4,1
4,1
4,1
4,1
