education_group,count,mean,std,median
Faible,597,-0.3027223627714656,0.5508686819667035,-0.2622216679132647
Moyen,343,0.161309070389507,0.5389805988250845,0.15847471120930653
Élevé,368,0.3340311569963655,0.5311947856517747,0.36339955606359486
