k,phi_obs,phi_rand_mean,phi_norm
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,0.9839925419076713,0.9855196390297618,0.9984504650525342
24,0.9748448150149004,0.9764485489407817,0.9983575848132286
25,0.9678014280174247,0.967543583215814,1.0002664942500612
26,0.9678014280174247,0.967543583215814,1.0002664942500612
27,0.9678014280174247,0.967543583215814,1.0002664942500612
28,0.9678014280174247,0.967543583215814,1.0002664942500612
29,0.9678014280174247,0.967543583215814,1.0002664942500612
30,0.9575205463336787,0.9583898178522752,0.9990929875272
31,0.9575205463336787,0.9583898178522752,0.9990929875272
32,0.9322462870747871,0.92819578986609,1.004363839238359
33,0.9322462870747871,0.92819578986609,1.004363839238359
34,0.9322462870747871,0.92819578986609,1.004363839238359
35,0.9322462870747871,0.92819578986609,1.004363839238359
36,0.9237449077294956,0.919400809144287,1.0047249236045939
37,0.9172435501926641,0.9116016506106936,1.0061889966721658
38,0.8834345327329691,0.8772879419948509,1.007006354976385
39,0.864498417246468,0.8561014342460175,1.0098083973049827
40,0.8485717884802563,0.829898887888428,1.0225002116093191
41,0.8365109364439733,0.8121204817502224,1.0300330495805086
42,0.8049437572857111,0.7708779388348002,1.0441909370274653
43,0.7879703533516634,0.7495459267559096,1.0512636053697972
44,0.7737283768459563,0.7305861390171171,1.0590515416660928
45,0.7669479769879296,0.7217307059206273,1.0626511671131187
46,0.760803300391597,0.7133698351501778,1.0664921095681508
47,0.7594702010497272,0.709656322140328,1.0701943706485417
48,0.7594702010497272,0.709656322140328,1.0701943706485417
49,0.7594702010497272,0.709656322140328,1.0701943706485417
50,0.7594702010497272,0.709656322140328,1.0701943706485417
51,0.7449125142754683,0.6915451948288103,1.0771711232262542
52,0.7386076518505265,0.6820487077532329,1.0829250806494553
53,0.7320578676085316,0.6738042887164529,1.086454746381991
54,0.6982483199796425,0.6434640915482187,1.085139527055207
55,0.6725512321327562,0.6096356657059496,1.1032019121682313
56,0.6725512321327562,0.6096356657059496,1.1032019121682313
57,0.6178415529338455,0.5638860521475313,1.0956851132969638
58,0.5721516599578883,0.5183852487140392,1.1037190224398314
59,0.5491912019256634,0.4937451186136318,1.1122969751432006
60,0.4982223774519891,0.44480484465204534,1.1200920660873879
61,0.4808703329530748,0.42601821693573927,1.1287553297881847
62,0.42774585124818615,0.38879785443166126,1.1001754417432639
63,0.3768696051933438,0.34486313827157006,1.0928091853544797
64,0.2920821211186816,0.24514049840765842,1.1914886484115783
65,0.27410686966433045,0.23076899661126743,1.1877976404519628
66,0.2584016162983382,0.1940603913361771,1.3315525879297063
67,0.2658233127246471,0.18290641494096838,1.4533296320440128
68,,,
