k,phi_obs,phi_rand_mean,phi_norm
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,0.9893122365705782,0.9905554577346324,0.9987449252292271
28,0.9893122365705782,0.9905554577346324,0.9987449252292271
29,0.9893122365705782,0.9905554577346324,0.9987449252292271
30,0.9893122365705782,0.9905554577346324,0.9987449252292271
31,0.9893122365705782,0.9905554577346324,0.9987449252292271
32,0.9691044827823712,0.9703001527338722,0.9987677318733464
33,0.9691044827823712,0.9703001527338722,0.9987677318733464
34,0.9614395072883282,0.9618119519036276,0.9996127677405523
35,0.9498332563925578,0.9498427249128893,0.9999900314861785
36,0.9443398620182789,0.9422476396729931,1.0022204590992787
37,0.9443398620182789,0.9422476396729931,1.0022204590992787
38,0.9443398620182789,0.9422476396729931,1.0022204590992787
39,0.8963278852045914,0.893941402932647,1.0026696182368502
40,0.8772124620946176,0.8688613204492907,1.0096115932989267
41,0.8514680223994998,0.8370584894089622,1.0172144876049367
42,0.8205830010717057,0.7957123442298584,1.031255838899821
43,0.8205830010717057,0.7957123442298584,1.031255838899821
44,0.797591750625713,0.7568283212275752,1.0538608667973994
45,0.7841400497268325,0.7363831450320881,1.064853337582385
46,0.7841400497268325,0.7363831450320881,1.064853337582385
47,0.7646463127492998,0.7173287800394574,1.065963521925385
48,0.7553259733485976,0.7043435662793395,1.0723828675522236
49,0.7505671134829294,0.6909390450991948,1.0863000416703532
50,0.7448843731883408,0.6851497958278735,1.0871846970169339
51,0.7348657750847095,0.6719518900569301,1.093628555792066
52,0.7179880621965328,0.653319281114192,1.0989849572050783
53,0.7013107423022008,0.6387290681806191,1.0979784344242258
54,0.6597664761606746,0.6011493871548843,1.0975083569214183
55,0.6287819462111564,0.573574504306124,1.0962515618992148
56,0.5575728143700599,0.5091043787373967,1.0952033367948382
57,0.5358500534391355,0.48621274254656305,1.1020896956188244
58,0.4626446557449856,0.4232156937326957,1.093165169903159
59,0.427219444469627,0.3847981012131508,1.1102431200225122
60,0.38557588647046354,0.3459143916963626,1.114656966365583
61,0.34125516029117264,0.287047506017947,1.1888455852664208
62,0.33551977729152266,0.2759485711283041,1.2158779294259165
63,0.31137538550234195,0.2265440735038505,1.3744583148278633
64,0.2904099899204012,0.19969797640345935,1.4542460326872417
65,0.3077716047556315,0.19304744406152655,1.5942796147953193
66,0.3293434136660387,0.17774786855353472,1.8528684273186988
67,0.28236706870324224,0.13731977043130172,2.0562739641667602
68,0.28236706870324224,0.13731977043130172,2.0562739641667602
69,0.28236706870324224,0.13731977043130172,2.0562739641667602
70,0.28236706870324224,0.13731977043130172,2.0562739641667602
71,0.2463236532786794,0.12277024810846279,2.006379046013346
72,0.21482444430341754,,
73,,,
